Fecha,Posición,Canción,Artista
2010-01-01,774,Uprising,Muse
2010-01-01,788,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-01,802,Life After You,Daughtry
2010-01-01,816,Carry Out,Timbaland Featuring Justin Timberlake
2010-01-01,830,One Less Lonely Girl,Justin Bieber
2010-01-01,844,Papers,Usher
2010-01-01,858,Never Gonna Be Alone,Nickelback
2010-01-01,872,Red Light,David Nail
2010-01-01,886,Why Don't We Just Dance,Josh Turner
2010-01-01,900,I Am,Mary J. Blige
2010-01-01,914,History In The Making,Darius Rucker
2010-01-01,928,Elevator,Eminem
2010-01-01,942,Crawl,Chris Brown
2010-01-01,956,Shut It Down,Pitbull Featuring Akon
2010-01-01,970,In My Head,Jason Derulo
2010-01-01,984,Haven't Met You Yet,Michael Buble
2010-01-01,998,Whataya Want From Me,Adam Lambert
2010-01-01,1012,Eight Second Ride,Jake Owen
2010-01-01,1026,Someday,Rob Thomas
2010-01-01,1040,I Wanna Rock,Snoop Dogg
2010-01-01,1054,Bonfire,Craig Morgan
2010-01-01,1068,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
2010-01-01,1082,All The Right Moves,OneRepublic
2010-01-01,1096,Sex Therapy,Robin Thicke
2010-01-01,1110,Body Language,Jesse McCartney Featuring T-Pain
2010-01-01,1124,I Will Not Bow,Breaking Benjamin
2010-01-01,1138,Break,Three Days Grace
2010-01-01,1152,Bad Habits,Maxwell
2010-01-01,1166,On Fire,Lil Wayne
2010-01-01,1180,Heartbreak Warfare,John Mayer
2010-01-01,1194,American Saturday Night,Brad Paisley
2010-01-01,1208,That's How Country Boys Roll,Billy Currington
2010-01-01,1222,Cryin' For Me (Wayman's Song),Toby Keith
2010-01-01,1236,Breakeven,The Script
2010-01-01,1250,1901,Phoenix
2010-01-01,1264,Halfway Gone,Lifehouse
2010-01-01,1278,Gettin' You Home,Chris Young
2010-01-01,1292,Imma Be,The Black Eyed Peas
2010-01-01,1306,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-01-01,1320,(If You're Wondering If I Want You To) I Want You To,Weezer
2010-01-01,1334,Kings And Queens,Thirty Seconds To Mars
2010-01-01,1348,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy
2010-01-01,1362,I Get It In,Omarion Featuring Gucci Mane
2010-01-01,1376,Drop It Low,Ester Dean Featuring Chris Brown
2010-01-01,1390,Video Phone,Beyonce Featuring Lady Gaga
2010-01-08,4,TiK ToK,Ke$ha
2010-01-08,18,Replay,Iyaz
2010-01-08,32,Bad Romance,Lady Gaga
2010-01-08,46,Fireflies,Owl City
2010-01-08,60,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-08,74,Whatcha Say,Jason Derulo
2010-01-08,88,Down,Jay Sean Featuring Lil Wayne
2010-01-08,102,Party In The U.S.A.,Miley Cyrus
2010-01-08,116,Sexy Chick,David Guetta Featuring Akon
2010-01-08,130,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
2010-01-08,144,Meet Me Halfway,The Black Eyed Peas
2010-01-08,158,BedRock,Young Money Featuring Lloyd
2010-01-08,172,3,Britney Spears
2010-01-08,186,I Gotta Feeling,The Black Eyed Peas
2010-01-08,200,Paparazzi,Lady Gaga
2010-01-08,214,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2010-01-08,228,One Time,Justin Bieber
2010-01-08,242,Hard,Rihanna Featuring Jeezy
2010-01-08,256,You Belong With Me,Taylor Swift
2010-01-08,270,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2010-01-08,284,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
2010-01-08,298,Need You Now,Lady Antebellum
2010-01-08,312,How Low,Ludacris
2010-01-08,326,Sweet Dreams,Beyonce
2010-01-08,340,Fifteen,Taylor Swift
2010-01-08,354,Tie Me Down,New Boyz Featuring Ray J
2010-01-08,368,Evacuate The Dancefloor,Cascada
2010-01-08,382,Already Gone,Kelly Clarkson
2010-01-08,396,Cowboy Casanova,Carrie Underwood
2010-01-08,410,One Less Lonely Girl,Justin Bieber
2010-01-08,424,Run This Town,"Jay-Z, Rihanna & Kanye West"
2010-01-08,438,Live Like We're Dying,Kris Allen
2010-01-08,452,Money To Blow,Birdman Featuring Lil Wayne & Drake
2010-01-08,466,"Hey, Soul Sister",Train
2010-01-08,480,Use Somebody,Kings Of Leon
2010-01-08,494,According To You,Orianthi
2010-01-08,508,Telephone,Lady Gaga Featuring Beyonce
2010-01-08,522,Fallin' For You,Colbie Caillat
2010-01-08,536,Naturally,Selena Gomez & The Scene
2010-01-08,550,Give It Up To Me,Shakira Featuring Lil Wayne
2010-01-08,564,Gangsta Luv,Snoop Dogg Featuring The-Dream
2010-01-08,578,Say Aah,Trey Songz Featuring Fabolous
2010-01-08,592,Russian Roulette,Rihanna
2010-01-08,606,Smile,Uncle Kracker
2010-01-08,620,Body Language,Jesse McCartney Featuring T-Pain
2010-01-08,634,Baby By Me,50 Cent Featuring Ne-Yo
2010-01-08,648,If You Only Knew,Shinedown
2010-01-08,662,Steady Mobbin',Young Money Featuring Gucci Mane
2010-01-08,676,White Liar,Miranda Lambert
2010-01-08,690,Do I,Luke Bryan
2010-01-08,704,Uprising,Muse
2010-01-08,718,Spotlight,Gucci Mane Featuring Usher
2010-01-08,732,Crawl,Chris Brown
2010-01-08,746,The Truth,Jason Aldean
2010-01-08,760,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-08,774,All The Right Moves,OneRepublic
2010-01-08,788,Life After You,Daughtry
2010-01-08,802,Never Gonna Be Alone,Nickelback
2010-01-08,816,In My Head,Jason Derulo
2010-01-08,830,Southern Voice,Tim McGraw
2010-01-08,844,Consider Me Gone,Reba
2010-01-08,858,I Invented Sex,Trey Songz Featuring Drake
2010-01-08,872,Haven't Met You Yet,Michael Buble
2010-01-08,886,I Will Not Bow,Breaking Benjamin
2010-01-08,900,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-01-08,914,Imma Be,The Black Eyed Peas
2010-01-08,928,I Am,Mary J. Blige
2010-01-08,942,Whataya Want From Me,Adam Lambert
2010-01-08,956,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy
2010-01-08,970,It Kills Me,Melanie Fiona
2010-01-08,984,Carry Out,Timbaland Featuring Justin Timberlake
2010-01-08,998,Vanilla Twilight,Owl City
2010-01-08,1012,Break,Three Days Grace
2010-01-08,1026,Why Don't We Just Dance,Josh Turner
2010-01-08,1040,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-08,1054,Eight Second Ride,Jake Owen
2010-01-08,1068,Drop It Low,Ester Dean Featuring Chris Brown
2010-01-08,1082,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
2010-01-08,1096,Funhouse,P!nk
2010-01-08,1110,Papers,Usher
2010-01-08,1124,History In The Making,Darius Rucker
2010-01-08,1138,Music Box,Eminem
2010-01-08,1152,Red Light,David Nail
2010-01-08,1166,Someday,Rob Thomas
2010-01-08,1180,Breakeven,The Script
2010-01-08,1194,Love Me,Justin Bieber
2010-01-08,1208,Shut It Down,Pitbull Featuring Akon
2010-01-08,1222,Hot Mess,Cobra Starship
2010-01-08,1236,I Wanna Rock,Snoop Dogg
2010-01-08,1250,1901,Phoenix
2010-01-08,1264,Rain,Creed
2010-01-08,1278,Falling Down,Selena Gomez & The Scene
2010-01-08,1292,Heartbreak Warfare,John Mayer
2010-01-08,1306,Sex Therapy,Robin Thicke
2010-01-08,1320,Bonfire,Craig Morgan
2010-01-08,1334,Shots,LMFAO Featuring Lil Jon
2010-01-08,1348,American Honey,Lady Antebellum
2010-01-08,1362,Video Phone,Beyonce Featuring Lady Gaga
2010-01-08,1376,Halfway Gone,Lifehouse
2010-01-08,1390,Kings And Queens,Thirty Seconds To Mars
2010-01-15,4,TiK ToK,Ke$ha
2010-01-15,18,Bad Romance,Lady Gaga
2010-01-15,32,Replay,Iyaz
2010-01-15,46,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-15,60,Fireflies,Owl City
2010-01-15,74,Sexy Chick,David Guetta Featuring Akon
2010-01-15,88,Down,Jay Sean Featuring Lil Wayne
2010-01-15,102,Whatcha Say,Jason Derulo
2010-01-15,116,I Gotta Feeling,The Black Eyed Peas
2010-01-15,130,Party In The U.S.A.,Miley Cyrus
2010-01-15,144,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
2010-01-15,158,BedRock,Young Money Featuring Lloyd
2010-01-15,172,Meet Me Halfway,The Black Eyed Peas
2010-01-15,186,Paparazzi,Lady Gaga
2010-01-15,200,Hard,Rihanna Featuring Jeezy
2010-01-15,214,3,Britney Spears
2010-01-15,228,You Belong With Me,Taylor Swift
2010-01-15,242,Drop The World,Lil Wayne Featuring Eminem
2010-01-15,256,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2010-01-15,270,Need You Now,Lady Antebellum
2010-01-15,284,How Low,Ludacris
2010-01-15,298,Sweet Dreams,Beyonce
2010-01-15,312,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2010-01-15,326,One Time,Justin Bieber
2010-01-15,340,Use Somebody,Kings Of Leon
2010-01-15,354,Already Gone,Kelly Clarkson
2010-01-15,368,Evacuate The Dancefloor,Cascada
2010-01-15,382,Fifteen,Taylor Swift
2010-01-15,396,"Hey, Soul Sister",Train
2010-01-15,410,Live Like We're Dying,Kris Allen
2010-01-15,424,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
2010-01-15,438,Tie Me Down,New Boyz Featuring Ray J
2010-01-15,452,According To You,Orianthi
2010-01-15,466,Run This Town,"Jay-Z, Rihanna & Kanye West"
2010-01-15,480,Cowboy Casanova,Carrie Underwood
2010-01-15,494,Money To Blow,Birdman Featuring Lil Wayne & Drake
2010-01-15,508,Telephone,Lady Gaga Featuring Beyonce
2010-01-15,522,Fallin' For You,Colbie Caillat
2010-01-15,536,One Less Lonely Girl,Justin Bieber
2010-01-15,550,Say Aah,Trey Songz Featuring Fabolous
2010-01-15,564,Gangsta Luv,Snoop Dogg Featuring The-Dream
2010-01-15,578,Naturally,Selena Gomez & The Scene
2010-01-15,592,Smile,Uncle Kracker
2010-01-15,606,Give It Up To Me,Shakira Featuring Lil Wayne
2010-01-15,620,If You Only Knew,Shinedown
2010-01-15,634,Imma Be,The Black Eyed Peas
2010-01-15,648,White Liar,Miranda Lambert
2010-01-15,662,Baby By Me,50 Cent Featuring Ne-Yo
2010-01-15,676,The Truth,Jason Aldean
2010-01-15,690,In My Head,Jason Derulo
2010-01-15,704,Southern Voice,Tim McGraw
2010-01-15,718,Haven't Met You Yet,Michael Buble
2010-01-15,732,Do I,Luke Bryan
2010-01-15,746,Consider Me Gone,Reba
2010-01-15,760,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-15,774,Life After You,Daughtry
2010-01-15,788,Spotlight,Gucci Mane Featuring Usher
2010-01-15,802,Uprising,Muse
2010-01-15,816,Russian Roulette,Rihanna
2010-01-15,830,All The Right Moves,OneRepublic
2010-01-15,844,Carry Out,Timbaland Featuring Justin Timberlake
2010-01-15,858,I Invented Sex,Trey Songz Featuring Drake
2010-01-15,872,Never Gonna Be Alone,Nickelback
2010-01-15,886,It Kills Me,Melanie Fiona
2010-01-15,900,Why Don't We Just Dance,Josh Turner
2010-01-15,914,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-15,928,Body Language,Jesse McCartney Featuring T-Pain
2010-01-15,942,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-01-15,956,Crawl,Chris Brown
2010-01-15,970,Whataya Want From Me,Adam Lambert
2010-01-15,984,History In The Making,Darius Rucker
2010-01-15,998,Eight Second Ride,Jake Owen
2010-01-15,1012,I Will Not Bow,Breaking Benjamin
2010-01-15,1026,Someday,Rob Thomas
2010-01-15,1040,Shut It Down,Pitbull Featuring Akon
2010-01-15,1054,Break,Three Days Grace
2010-01-15,1068,Red Light,David Nail
2010-01-15,1082,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
2010-01-15,1096,Heartbreak Warfare,John Mayer
2010-01-15,1110,Papers,Usher
2010-01-15,1124,Steady Mobbin',Young Money Featuring Gucci Mane
2010-01-15,1138,I Am,Mary J. Blige
2010-01-15,1152,Funhouse,P!nk
2010-01-15,1166,Breakeven,The Script
2010-01-15,1180,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy
2010-01-15,1194,Drop It Low,Ester Dean Featuring Chris Brown
2010-01-15,1208,I Wanna Rock,Snoop Dogg
2010-01-15,1222,1901,Phoenix
2010-01-15,1236,American Saturday Night,Brad Paisley
2010-01-15,1250,Vanilla Twilight,Owl City
2010-01-15,1264,Cryin' For Me (Wayman's Song),Toby Keith
2010-01-15,1278,Sex Therapy,Robin Thicke
2010-01-15,1292,Hot Mess,Cobra Starship
2010-01-15,1306,Gettin' You Home,Chris Young
2010-01-15,1320,Shots,LMFAO Featuring Lil Jon
2010-01-15,1334,That's How Country Boys Roll,Billy Currington
2010-01-15,1348,Temporary Home,Carrie Underwood
2010-01-15,1362,Halfway Gone,Lifehouse
2010-01-15,1376,American Honey,Lady Antebellum
2010-01-15,1390,(If You're Wondering If I Want You To) I Want You To,Weezer
2010-01-22,4,TiK ToK,Ke$ha
2010-01-22,18,Bad Romance,Lady Gaga
2010-01-22,32,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-22,46,Replay,Iyaz
2010-01-22,60,Fireflies,Owl City
2010-01-22,74,Sexy Chick,David Guetta Featuring Akon
2010-01-22,88,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-01-22,102,BedRock,Young Money Featuring Lloyd
2010-01-22,116,Hard,Rihanna Featuring Jeezy
2010-01-22,130,Down,Jay Sean Featuring Lil Wayne
2010-01-22,144,Whatcha Say,Jason Derulo
2010-01-22,158,I Gotta Feeling,The Black Eyed Peas
2010-01-22,172,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
2010-01-22,186,How Low,Ludacris
2010-01-22,200,3,Britney Spears
2010-01-22,214,You Belong With Me,Taylor Swift
2010-01-22,228,Party In The U.S.A.,Miley Cyrus
2010-01-22,242,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2010-01-22,256,Need You Now,Lady Antebellum
2010-01-22,270,Drop The World,Lil Wayne Featuring Eminem
2010-01-22,284,Meet Me Halfway,The Black Eyed Peas
2010-01-22,298,Paparazzi,Lady Gaga
2010-01-22,312,"Hey, Soul Sister",Train
2010-01-22,326,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2010-01-22,340,Already Gone,Kelly Clarkson
2010-01-22,354,According To You,Orianthi
2010-01-22,368,Your Love Is My Drug,Ke$ha
2010-01-22,382,Say Aah,Trey Songz Featuring Fabolous
2010-01-22,396,Use Somebody,Kings Of Leon
2010-01-22,410,Sweet Dreams,Beyonce
2010-01-22,424,Telephone,Lady Gaga Featuring Beyonce
2010-01-22,438,Tie Me Down,New Boyz Featuring Ray J
2010-01-22,452,Live Like We're Dying,Kris Allen
2010-01-22,466,Imma Be,The Black Eyed Peas
2010-01-22,480,Evacuate The Dancefloor,Cascada
2010-01-22,494,Naturally,Selena Gomez & The Scene
2010-01-22,508,Fifteen,Taylor Swift
2010-01-22,522,Money To Blow,Birdman Featuring Lil Wayne & Drake
2010-01-22,536,Fallin' For You,Colbie Caillat
2010-01-22,550,Gangsta Luv,Snoop Dogg Featuring The-Dream
2010-01-22,564,Carry Out,Timbaland Featuring Justin Timberlake
2010-01-22,578,One Time,Justin Bieber
2010-01-22,592,Cowboy Casanova,Carrie Underwood
2010-01-22,606,In My Head,Jason Derulo
2010-01-22,620,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
2010-01-22,634,The Truth,Jason Aldean
2010-01-22,648,Smile,Uncle Kracker
2010-01-22,662,One Less Lonely Girl,Justin Bieber
2010-01-22,676,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-22,690,If You Only Knew,Shinedown
2010-01-22,704,White Liar,Miranda Lambert
2010-01-22,718,Haven't Met You Yet,Michael Buble
2010-01-22,732,It Kills Me,Melanie Fiona
2010-01-22,746,I Invented Sex,Trey Songz Featuring Drake
2010-01-22,760,Southern Voice,Tim McGraw
2010-01-22,774,Life After You,Daughtry
2010-01-22,788,All The Right Moves,OneRepublic
2010-01-22,802,Give It Up To Me,Shakira Featuring Lil Wayne
2010-01-22,816,Consider Me Gone,Reba
2010-01-22,830,Baby By Me,50 Cent Featuring Ne-Yo
2010-01-22,844,Spotlight,Gucci Mane Featuring Usher
2010-01-22,858,Uprising,Muse
2010-01-22,872,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-22,886,Why Don't We Just Dance,Josh Turner
2010-01-22,900,Whataya Want From Me,Adam Lambert
2010-01-22,914,Never Gonna Be Alone,Nickelback
2010-01-22,928,Shut It Down,Pitbull Featuring Akon
2010-01-22,942,I Am,Mary J. Blige
2010-01-22,956,Do I,Luke Bryan
2010-01-22,970,History In The Making,Darius Rucker
2010-01-22,984,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-01-22,998,Crawl,Chris Brown
2010-01-22,1012,Breakeven,The Script
2010-01-22,1026,Heartbreak Warfare,John Mayer
2010-01-22,1040,Eight Second Ride,Jake Owen
2010-01-22,1054,Russian Roulette,Rihanna
2010-01-22,1068,I Wanna Rock,Snoop Dogg
2010-01-22,1082,Someday,Rob Thomas
2010-01-22,1096,Halfway Gone,Lifehouse
2010-01-22,1110,I Will Not Bow,Breaking Benjamin
2010-01-22,1124,Papers,Usher
2010-01-22,1138,Red Light,David Nail
2010-01-22,1152,Shots,LMFAO Featuring Lil Jon
2010-01-22,1166,1901,Phoenix
2010-01-22,1180,Take It Off,Ke$ha
2010-01-22,1194,Sex Therapy,Robin Thicke
2010-01-22,1208,American Saturday Night,Brad Paisley
2010-01-22,1222,Cryin' For Me (Wayman's Song),Toby Keith
2010-01-22,1236,Temporary Home,Carrie Underwood
2010-01-22,1250,Break,Three Days Grace
2010-01-22,1264,Hot Mess,Cobra Starship
2010-01-22,1278,That's How Country Boys Roll,Billy Currington
2010-01-22,1292,Love This Pain,Lady Antebellum
2010-01-22,1306,Say Something,Timbaland Featuring Drake
2010-01-22,1320,Steady Mobbin',Young Money Featuring Gucci Mane
2010-01-22,1334,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy
2010-01-22,1348,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman
2010-01-22,1362,Body Language,Jesse McCartney Featuring T-Pain
2010-01-22,1376,Bad Habits,Maxwell
2010-01-22,1390,A Little More Country Than That,Easton Corbin
2010-01-29,4,TiK ToK,Ke$ha
2010-01-29,18,Bad Romance,Lady Gaga
2010-01-29,32,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-29,46,BedRock,Young Money Featuring Lloyd
2010-01-29,60,Replay,Iyaz
2010-01-29,74,Sexy Chick,David Guetta Featuring Akon
2010-01-29,88,"Hey, Soul Sister",Train
2010-01-29,102,Hard,Rihanna Featuring Jeezy
2010-01-29,116,Fireflies,Owl City
2010-01-29,130,How Low,Ludacris
2010-01-29,144,I Gotta Feeling,The Black Eyed Peas
2010-01-29,158,Blah Blah Blah,Ke$ha Featuring 3OH!3
2010-01-29,172,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon
2010-01-29,186,Whatcha Say,Jason Derulo
2010-01-29,200,Imma Be,The Black Eyed Peas
2010-01-29,214,Down,Jay Sean Featuring Lil Wayne
2010-01-29,228,Need You Now,Lady Antebellum
2010-01-29,242,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
2010-01-29,256,Say Aah,Trey Songz Featuring Fabolous
2010-01-29,270,Telephone,Lady Gaga Featuring Beyonce
2010-01-29,284,According To You,Orianthi
2010-01-29,298,You Belong With Me,Taylor Swift
2010-01-29,312,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2010-01-29,326,3,Britney Spears
2010-01-29,340,Live Like We're Dying,Kris Allen
2010-01-29,354,Party In The U.S.A.,Miley Cyrus
2010-01-29,368,Paparazzi,Lady Gaga
2010-01-29,382,Already Gone,Kelly Clarkson
2010-01-29,396,Naturally,Selena Gomez & The Scene
2010-01-29,410,Meet Me Halfway,The Black Eyed Peas
2010-01-29,424,Tie Me Down,New Boyz Featuring Ray J
2010-01-29,438,Carry Out,Timbaland Featuring Justin Timberlake
2010-01-29,452,Use Somebody,Kings Of Leon
2010-01-29,466,Evacuate The Dancefloor,Cascada
2010-01-29,480,Sweet Dreams,Beyonce
2010-01-29,494,Fifteen,Taylor Swift
2010-01-29,508,In My Head,Jason Derulo
2010-01-29,522,Money To Blow,Birdman Featuring Lil Wayne & Drake
2010-01-29,536,Gangsta Luv,Snoop Dogg Featuring The-Dream
2010-01-29,550,Haven't Met You Yet,Michael Buble
2010-01-29,564,The Truth,Jason Aldean
2010-01-29,578,Fallin' For You,Colbie Caillat
2010-01-29,592,If You Only Knew,Shinedown
2010-01-29,606,Smile,Uncle Kracker
2010-01-29,620,Cowboy Casanova,Carrie Underwood
2010-01-29,634,Try Sleeping With A Broken Heart,Alicia Keys
2010-01-29,648,White Liar,Miranda Lambert
2010-01-29,662,Life After You,Daughtry
2010-01-29,676,It Kills Me,Melanie Fiona
2010-01-29,690,All The Right Moves,OneRepublic
2010-01-29,704,Why Don't We Just Dance,Josh Turner
2010-01-29,718,One Less Lonely Girl,Justin Bieber
2010-01-29,732,Shut It Down,Pitbull Featuring Akon
2010-01-29,746,Southern Voice,Tim McGraw
2010-01-29,760,Whataya Want From Me,Adam Lambert
2010-01-29,774,Drop The World,Lil Wayne Featuring Eminem
2010-01-29,788,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz
2010-01-29,802,Soldier Of Love,Sade
2010-01-29,816,Your Love Is My Drug,Ke$ha
2010-01-29,830,Never Gonna Be Alone,Nickelback
2010-01-29,844,I Wanna Make You Close Your Eyes,Dierks Bentley
2010-01-29,858,Spotlight,Gucci Mane Featuring Usher
2010-01-29,872,I Am,Mary J. Blige
2010-01-29,886,I Wanna Rock,Snoop Dogg
2010-01-29,900,I Invented Sex,Trey Songz Featuring Drake
2010-01-29,914,Breakeven,The Script
2010-01-29,928,Uprising,Muse
2010-01-29,942,History In The Making,Darius Rucker
2010-01-29,956,Consider Me Gone,Reba
2010-01-29,970,Heartbreak Warfare,John Mayer
2010-01-29,984,Halfway Gone,Lifehouse
2010-01-29,998,Ready To Love Again,Lady Antebellum
2010-01-29,1012,Hillbilly Bone,Blake Shelton Featuring Trace Adkins
2010-01-29,1026,Do I,Luke Bryan
2010-01-29,1040,Someday,Rob Thomas
2010-01-29,1054,Baby By Me,50 Cent Featuring Ne-Yo
2010-01-29,1068,Shots,LMFAO Featuring Lil Jon
2010-01-29,1082,On To The Next One,Jay-Z + Swizz Beatz
2010-01-29,1096,Give It Up To Me,Shakira Featuring Lil Wayne
2010-01-29,1110,American Saturday Night,Brad Paisley
2010-01-29,1124,Eight Second Ride,Jake Owen
2010-01-29,1138,Say Something,Timbaland Featuring Drake
2010-01-29,1152,Crawl,Chris Brown
2010-01-29,1166,Temporary Home,Carrie Underwood
2010-01-29,1180,Cryin' For Me (Wayman's Song),Toby Keith
2010-01-29,1194,Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright
2010-01-29,1208,That's How Country Boys Roll,Billy Currington
2010-01-29,1222,When I Look At You,Miley Cyrus
2010-01-29,1236,Sex Therapy,Robin Thicke
2010-01-29,1250,Russian Roulette,Rihanna
2010-01-29,1264,1901,Phoenix
2010-01-29,1278,'Til Summer Comes Around,Keith Urban
2010-01-29,1292,I Will Not Bow,Breaking Benjamin
2010-01-29,1306,Break,Three Days Grace
2010-01-29,1320,A Little More Country Than That,Easton Corbin
2010-01-29,1334,Papers,Usher
2010-01-29,1348,Hot Mess,Cobra Starship
2010-01-29,1362,Highway 20 Ride,Zac Brown Band
2010-01-29,1376,Just Breathe,Pearl Jam
2010-01-29,1390,Hey Daddy (Daddy's Home),Usher Featuring Plies
2010-02-05,4,TiK ToK,Ke$ha
2010-02-05,18,Today Was A Fairytale,Taylor Swift
2010-02-05,32,Bad Romance,Lady Gaga
2010-02-05,46,BedRock,Young Money Featuring Lloyd
2010-02-05,60,Baby,Justin Bieber Featuring Ludacris
2010-02-05,74,Replay,Iyaz
2010-02-05,88,Sexy Chick,David Guetta Featuring Akon
2010-02-05,102,Empire State Of Mind,Jay-Z + Alicia Keys
2010-02-05,116,Hard,Rihanna Featuring Jeezy
2010-02-05,130,"Hey, Soul Sister",Train
2010-02-05,144,Imma Be,The Black Eyed Peas
2010-02-05,158,How Low,Ludacris
